kode_rekening,pos_beban,sumber_pos_beban,penjelasan_pos_beban,,tanggal,   nilai_beban   
8.1.01,Pendapatan-LO,Pendapatan Asli Daerah-LO,Pendapatan Pajak Daerah - LO,,2018-12-31,0
8.1.02,Pendapatan-LO,Pendapatan Asli Daerah-LO,Pendapatan Retribusi Daerah - LO,,2018-12-31,0
8.1.03,Pendapatan-LO,Dana Perimbangan-LO,Dana Bagi Hasil Pajak/Bagi Hasil Bukan Pajak - LO,,2018-12-31,0
8.1.04,Pendapatan-LO,Lain-lain Pendapatan Daerah yang Sah - LO,Pendapatan Hibah - LO,,2018-12-31,0
9.1.01,Beban,Beban Operasi,Beban Pegawai,,2018-12-31,9.39634E+11
9.1.02,Beban,Beban Operasi,Beban Persediaan,,2018-12-31,8758979319
9.1.03,Beban,Beban Operasi,Beban Barang,,2018-12-31,24051235430
9.1.04,Beban,Beban Operasi,Beban Jasa,,2018-12-31,12469352625
9.1.05,Beban,Beban Operasi,Beban Pemeliharaan,,2018-12-31,6876476733
9.1.06,Beban,Beban Operasi,Beban Perjalanan Dinas,,2018-12-31,0
9.1.07,Beban,Beban Operasi,Beban Bunga,,2018-12-31,0
9.1.08,Beban,Beban Operasi,Beban Subsidi,,2018-12-31,0
9.1.09,Beban,Beban Operasi,Beban Hibah,,2018-12-31,0
9.1.10,Beban,Beban Operasi,Beban Bantuan Sosial,,2018-12-31,0
9.1.12,Beban,Beban Operasi,Beban Penyusutan dan Amortisasi,,2018-12-31,22624230626
9.1.11,Beban,Beban Operasi,Beban Penyisihan Piutang,,2018-12-31,0
9.1.13,Beban,Beban Operasi,Beban Lain-lain,,2018-12-31,0
8.4.01,Surpuls/Defisit,Surplus Non Operasional,Surplus Penjualan Aset Non Lancar,,2018-12-31,0
9.3.01,Surpuls/Defisit,Defisit Non Operasional,Defisit Penjualan Aset Non Lancar,,2018-12-31,0
8.5.01,Surpuls/Defisit,Pendapatan Luar Biasa - LO,Pendapatan Luar Biasa - LO,,2018-12-31,0
9.4.01,Surpuls/Defisit,Beban Luar Biasa,Beban Luar Biasa/Beban Tidak Terdug,,2018-12-31,0
